優先度,功能,對應成因/痛點,開發難度,類型
MVP,即時捕捉 Brain Dump,睡前胡思亂想,低,通用
MVP,基礎睡眠日記+統計圖,作息紊亂,低,通用
MVP,10-3-2-1-0倒數提醒,睡前習慣紊亂,低,通用
MVP,起身/瞓覺一鍵Checkpoint,缺乏簡單規律追蹤,低,通用
MVP,彈性倒數（手動觸發下班）,OT加班時間不定,低,香港/亞洲本地化
Should Have,認知重構練習,對失眠焦慮,中,通用
Should Have,螢幕使用偵測提醒,藍光/螢幕刺激,中,通用
Should Have,Still Awake 修正機制,入睡時間誤差,低,通用
Should Have,鎖屏/桌面Widget捷徑,記錄摩擦力高,中,通用
Should Have,事後可編輯記錄,記錄誤差修正,低,通用
Should Have,晨間回顧提示,日夜脫節,低,通用
Should Have,一鍵轉存工作訊息到Brain Dump,下班後訊息待命文化,中,香港/亞洲本地化
Should Have,煩惱來源標籤分類,辦公室人情/政治壓力,中,香港/亞洲本地化
Should Have,粵語UI/本地化文案,內容西方化，欠缺共鳴,低,香港/亞洲本地化
Could Have,穿戴裝置/感測器整合,缺乏客觀數據,高,通用
Could Have,完整CBT-I療程模組,慢性失眠,高,通用
Could Have,社交時差偵測,平日/假日作息差異,中,通用
Could Have,個人化AI建議,缺乏客製化改善方案,高,通用
Could Have,自訂彈性睡眠窗口,輪班/服務業非固定作息,中,香港/亞洲本地化
Won't Have,臨床診斷功能（睡眠呼吸中止等）,需醫療器材認證,高,通用
Won't Have,需認證生理監測（血氧/腦波）,需醫療器材認證,高,通用
